week_label,week_end_date,close_price
2023-W29,2023-07-21,29867.20000000
2023-W30,2023-07-28,29313.90000000
2023-W31,2023-08-04,28998.40000000
2023-W32,2023-08-11,29360.10000000
2023-W33,2023-08-18,26062.50000000
2023-W34,2023-08-25,25945.30000000
2023-W35,2023-09-01,25630.00000000
2023-W36,2023-09-08,25874.40000000
2023-W37,2023-09-15,26402.50000000
2023-W38,2023-09-22,26540.40000000
2023-W39,2023-09-29,26918.50000000
2023-W40,2023-10-06,27960.30000000
2023-W41,2023-10-13,26771.30000000
2023-W42,2023-10-20,29544.30000000
2023-W43,2023-10-27,33708.80000000
2023-W44,2023-11-03,34616.20000000
2023-W45,2023-11-10,37241.70000000
2023-W46,2023-11-17,36468.50000000
2023-W47,2023-11-24,37833.50000000
2023-W48,2023-12-01,38775.30000000
2023-W49,2023-12-08,44351.90000000
2023-W50,2023-12-15,42229.10000000
2023-W51,2023-12-22,43690.60000000
2023-W52,2023-12-29,42025.10000000
2024-W01,2024-01-05,43970.10000000
2024-W02,2024-01-12,43707.00000000
2024-W03,2024-01-19,41658.30000000
2024-W04,2024-01-26,41942.70000000
2024-W05,2024-02-02,42942.40000000
2024-W06,2024-02-09,47598.60000000
2024-W07,2024-02-16,51866.10000000
2024-W08,2024-02-23,51077.40000000
2024-W09,2024-03-01,62749.00000000
2024-W10,2024-03-08,69179.70000000
2024-W11,2024-03-15,67918.10000000
2024-W12,2024-03-22,63493.20000000
2024-W13,2024-03-28,70863.10000000
2024-W14,2024-04-05,67412.20000000
2024-W15,2024-04-12,66758.70000000
2024-W16,2024-04-19,64264.00000000
2024-W17,2024-04-26,63811.70000000
2024-W18,2024-05-03,62035.50000000
2024-W19,2024-05-10,60620.00000000
2024-W20,2024-05-17,66953.60000000
2024-W21,2024-05-24,69160.10000000
2024-W22,2024-05-31,67658.90000000
2024-W23,2024-06-07,69188.30000000
2024-W24,2024-06-14,65470.70000000
2024-W25,2024-06-21,64305.30000000
2024-W26,2024-06-28,60064.00000000
2024-W27,2024-07-05,56481.20000000
2024-W28,2024-07-12,57657.10000000
2024-W29,2024-07-19,66977.40000000
2024-W30,2024-07-26,67928.30000000
2024-W31,2024-08-02,62631.50000000
2024-W32,2024-08-09,60732.30000000
2024-W33,2024-08-16,59698.60000000
2024-W34,2024-08-23,63622.10000000
2024-W35,2024-08-30,58776.80000000
2024-W36,2024-09-06,53512.80000000
2024-W37,2024-09-13,59693.60000000
2024-W38,2024-09-20,62865.40000000
2024-W39,2024-09-27,65719.80000000
2024-W40,2024-10-04,62343.70000000
2024-W41,2024-10-11,63022.60000000
2024-W42,2024-10-18,68585.20000000
2024-W43,2024-10-25,66786.40000000
2024-W44,2024-11-01,69192.60000000
2024-W45,2024-11-08,76677.70000000
2024-W46,2024-11-15,91283.30000000
2024-W47,2024-11-22,99189.60000000
2024-W48,2024-11-29,97373.80000000
2024-W49,2024-12-06,101517.00000000
2024-W50,2024-12-13,101631.00000000
2024-W51,2024-12-20,96413.40000000
2024-W52,2024-12-27,94500.00000000
2025-W01,2025-01-03,98303.20000000
2025-W02,2025-01-10,94616.30000000
2025-W03,2025-01-17,104748.00000000
2025-W04,2025-01-24,105020.00000000
2025-W05,2025-01-31,101597.00000000
2025-W06,2025-02-07,95919.50000000
2025-W07,2025-02-14,97153.40000000
2025-W08,2025-02-21,95143.80000000
2025-W09,2025-02-28,84128.30000000
2025-W10,2025-03-07,87704.60000000
2025-W11,2025-03-14,84147.40000000
2025-W12,2025-03-21,84170.80000000
2025-W13,2025-03-28,83761.90000000
2025-W14,2025-04-04,84016.60000000
2025-W15,2025-04-11,83869.30000000
2025-W16,2025-04-17,85070.10000000
2025-W17,2025-04-25,95333.40000000
2025-W18,2025-05-02,96935.80000000
2025-W19,2025-05-09,103184.00000000
2025-W20,2025-05-16,103924.00000000
2025-W21,2025-05-23,108696.00000000
2025-W22,2025-05-30,104584.00000000
2025-W23,2025-06-06,104303.00000000
2025-W24,2025-06-13,105248.00000000
2025-W25,2025-06-20,103437.00000000
2025-W26,2025-06-27,106883.00000000
2025-W27,2025-07-04,107484.00000000
2025-W28,2025-07-11,118028.00000000
2025-W29,2025-07-18,117437.00000000
2025-W30,2025-07-25,116758.00000000
2025-W31,2025-08-01,113290.00000000
2025-W32,2025-08-08,116483.00000000
2025-W33,2025-08-15,116974.00000000
2025-W34,2025-08-22,116617.00000000
2025-W35,2025-08-29,108198.00000000
2025-W36,2025-09-05,111683.00000000
2025-W37,2025-09-12,116612.00000000
2025-W38,2025-09-19,115210.00000000
2025-W39,2025-09-26,109223.00000000
2025-W40,2025-10-03,122679.00000000
2025-W41,2025-10-10,116781.00000000
2025-W42,2025-10-17,106480.00000000
2025-W43,2025-10-24,110541.00000000
2025-W44,2025-10-31,109497.00000000
2025-W45,2025-11-07,103531.00000000
2025-W46,2025-11-14,94332.50000000
2025-W47,2025-11-21,84522.90000000
2025-W48,2025-11-28,91239.20000000
2025-W49,2025-12-05,89391.80000000
2025-W50,2025-12-12,90240.40000000
2025-W51,2025-12-19,87953.80000000
2025-W52,2025-12-26,87627.80000000
2026-W01,2026-01-02,89748.00000000
2026-W02,2026-01-09,90229.00000000
2026-W03,2026-01-16,95396.10000000
2026-W04,2026-01-23,89453.40000000
2026-W05,2026-01-30,83842.60000000
2026-W06,2026-02-06,70048.10000000
2026-W07,2026-02-13,66054.90000000
